content;start;end;group;title;className;type
PCSI - PSI;1998-09-01;2000-07-01;Tours;Classes préparatoires aux concours des écoles d'ingénieur - Lycées Descartes et Vaucanson (Tours).;green;
ISEP;2000-09-01;2003-07-01;Paris;Institut Supérieur d'Electronique de Paris - Cycle Ingénieur;blue;
DEA STN;2003-09-01;2004-06-30;Paris;Diplôme d'Etudes Approfondies - Systèmes de Transmissions Numériques / ENST;blue;
Master Informatica Grafica;2004-09-01;2005-06-30;Madrid;Master Informatica Grafica / UCM - Universidad Complutense de Madrid;orange;
