content;start;end;group;title
Stage France Telecom;2004-03-01;2004-06-30;Expériences;Développement d'un outil de gestion des clusters du réseau fixe France Telecom.
Stage SFR;2003-02-01;2003-07-01;Expériences;Mise en place de KPI sur le premiers réseaux UMTS
Enseignement du Piano Classique;2000;2009;Expériences;Cours Particuliers de Piano
Lauréat du concours BOSS Loop Station;2012;;Expériences;Lauréat du concours BOSS Loop Station
Piano Bar;2012;2013;Expériences;Pianiste au Café Ruby, avenue du Maine, 75014.
Fondateur IdWeblogs;2013-05-01;2017-05-01;Expériences;Fondateur IdWeblogs
