content;start;end;group;title;className;type
Erasmus Madrid;2004-09-02;2005-07-31;Espagnol;Participation au programme Erasmus pendant 10 mois à Madrid;orange;
Séjour USA;1994-07-01;1994-07-31;Américain;Séjour linguistique de 1 mois en immersion dans une famille américaine de Landsdale PA;red;
Séjour USA;1995-07-01;1995-07-31;Américain;Séjour linguistique de 1 mois en immersion dans une famille américaine de Providence RI;red;
Séjour USA;1996-07-01;1996-07-31;Américain;Séjour linguistique de 1 mois en immersion dans une famille américaine de Niagara Falls PA;red;
810/1000 pts au TOEIC;2003-05-01;;Américain;810/1000 pts au TOEIC;red;
Seconde langue au collège;1994;1996;Allemand;Seconde langue au collège : notions de base;purple;
Pratique régulière avec des amis;2004;2006;Italien;Pratique hebdomadaire avec des amis : notions de base;green;
